"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2024","3,150,000","3,129,000","3,196,000","3,024,000","20.00K","0.67%"
"01/08/2024","3,129,000","2,990,000","3,155,000","2,914,000","9.92K","4.65%"
"01/07/2024","2,990,000","3,023,000","3,051,000","2,969,000","5.13K","-1.09%"
"01/06/2024","3,023,000","3,050,000","3,054,000","2,993,000","2.84K","-0.89%"
"01/05/2024","3,050,000","3,052,000","3,060,000","2,989,000","4.79K","-0.10%"
"01/04/2024","3,053,000","3,018,000","3,077,000","2,970,000","6.24K","1.16%"
"01/03/2024","3,018,000","3,156,000","3,190,000","2,850,000","9.03K","-4.40%"
"01/02/2024","3,157,000","3,134,000","3,229,000","3,129,000","6.58K","0.73%"
"01/01/2024","3,134,000","3,080,000","3,135,000","3,067,000","5.22K","1.75%"
"12/31/2023","3,080,000","3,081,000","3,112,000","3,060,000","3.99K","-0.03%"
"12/30/2023","3,081,000","3,086,000","3,113,000","3,059,000","3.61K","-0.16%"
"12/29/2023","3,086,000","3,130,000","3,171,000","3,052,000","8.82K","-1.41%"
"12/28/2023","3,130,000","3,174,000","3,250,000","3,126,000","7.80K","-1.36%"
"12/27/2023","3,173,000","2,991,000","3,190,000","2,961,000","11.39K","6.08%"
"12/26/2023","2,991,000","3,028,000","3,037,000","2,954,000","5.94K","-1.19%"
"12/25/2023","3,027,000","3,054,000","3,082,000","3,013,000","4.49K","-0.88%"
"12/24/2023","3,054,000","3,127,000","3,157,000","3,043,000","5.06K","-2.33%"
"12/23/2023","3,127,000","3,146,000","3,158,000","3,083,000","3.24K","-0.60%"
"12/22/2023","3,146,000","3,030,000","3,175,000","3,020,000","4.99K","3.79%"
"12/21/2023","3,031,000","2,986,000","3,084,000","2,965,000","6.76K","1.51%"
"12/20/2023","2,986,000","2,972,000","3,057,000","2,932,000","9.23K","0.47%"
"12/19/2023","2,972,000","3,022,000","3,059,000","2,915,000","6.24K","-1.65%"
"12/18/2023","3,022,000","3,008,000","3,027,000","2,885,000","4.69K","0.43%"
"12/17/2023","3,009,000","3,051,000","3,065,000","3,009,000","3.94K","-1.38%"
"12/16/2023","3,051,000","3,067,000","3,099,000","3,048,000","2.72K","-0.52%"
"12/15/2023","3,067,000","3,149,000","3,156,000","3,053,000","4.78K","-2.60%"
"12/14/2023","3,149,000","3,110,000","3,170,000","3,080,000","5.39K","1.25%"
"12/13/2023","3,110,000","3,054,000","3,146,000","2,980,000","8.59K","1.83%"
"12/12/2023","3,054,000","3,066,000","3,108,000","3,009,000","5.08K","-0.39%"
"12/11/2023","3,066,000","3,214,000","3,218,000","2,974,000","9.51K","-4.63%"
"12/10/2023","3,215,000","3,214,000","3,241,000","3,175,000","3.24K","0.00%"
"12/09/2023","3,215,000","3,212,000","3,264,000","3,200,000","3.00K","0.09%"
"12/08/2023","3,212,000","3,221,000","3,265,000","3,195,000","5.86K","-0.28%"
"12/07/2023","3,221,000","3,073,000","3,256,000","3,041,000","10.81K","4.82%"
"12/06/2023","3,073,000","3,136,000","3,159,000","3,064,000","3.83K","-2.01%"
"12/05/2023","3,136,000","3,035,000","3,142,000","2,960,000","13.03K","3.29%"
"12/04/2023","3,036,000","2,945,000","3,052,000","2,944,000","5.74K","3.09%"
"12/03/2023","2,945,000","2,886,000","2,961,000","2,877,000","4.69K","2.04%"
"12/02/2023","2,886,000","2,791,000","2,892,000","2,791,000","6.42K","3.40%"
"12/01/2023","2,791,000","2,748,000","2,816,000","2,741,000","2.71K","1.56%"
"11/30/2023","2,748,000","2,718,000","2,751,000","2,704,000","1.63K","1.10%"
"11/29/2023","2,718,000","2,735,000","2,765,000","2,707,000","1.91K","-0.62%"
"11/28/2023","2,735,000","2,736,000","2,766,000","2,685,000","4.96K","-0.04%"
"11/27/2023","2,736,000","2,766,000","2,777,000","2,690,000","3.11K","-1.08%"
"11/26/2023","2,766,000","2,786,000","2,797,000","2,746,000","3.76K","-0.72%"
"11/25/2023","2,786,000","2,790,000","2,802,000","2,766,000","1.14K","-0.14%"
"11/24/2023","2,790,000","2,759,000","2,843,000","2,756,000","5.92K","1.16%"
"11/23/2023","2,758,000","2,758,000","2,783,000","2,732,000","2.78K","0.00%"
"11/22/2023","2,758,000","2,620,000","2,786,000","2,619,000","6.11K","5.23%"
"11/21/2023","2,621,000","2,707,000","2,718,000","2,620,000","9.14K","-3.18%"
"11/20/2023","2,707,000","2,681,000","2,744,000","2,662,000","4.73K","0.97%"
"11/19/2023","2,681,000","2,639,000","2,685,000","2,617,000","3.17K","1.63%"
"11/18/2023","2,638,000","2,647,000","2,648,000","2,591,000","2.33K","-0.30%"
"11/17/2023","2,646,000","2,652,000","2,675,000","2,582,000","4.33K","-0.23%"
"11/16/2023","2,652,000","2,745,000","2,793,000","2,625,000","5.86K","-3.39%"
"11/15/2023","2,745,000","2,673,000","2,747,000","2,614,000","5.87K","2.69%"
"11/14/2023","2,673,000","2,767,000","2,779,000","2,656,000","6.87K","-3.43%"
"11/13/2023","2,768,000","2,726,000","2,838,000","2,717,000","8.87K","1.54%"
"11/12/2023","2,726,000","2,747,000","2,754,000","2,706,000","1.93K","-0.76%"
"11/11/2023","2,747,000","2,789,000","2,797,000","2,729,000","2.76K","-1.54%"
"11/10/2023","2,790,000","2,853,000","2,872,000","2,783,000","6.20K","-2.17%"
"11/09/2023","2,852,000","2,514,000","2,867,000","2,511,000","29.05K","13.44%"
"11/08/2023","2,514,000","2,521,000","2,528,000","2,501,000","2.82K","-0.32%"
"11/07/2023","2,522,000","2,538,000","2,541,000","2,489,000","3.33K","-0.63%"
"11/06/2023","2,538,000","2,541,000","2,554,000","2,500,000","2.33K","-0.12%"
"11/05/2023","2,541,000","2,491,000","2,564,000","2,481,000","3.45K","2.01%"
"11/04/2023","2,491,000","2,463,000","2,503,000","2,453,000","1.96K","1.18%"
"11/03/2023","2,462,000","2,449,000","2,465,000","2,407,000","3.11K","0.53%"
"11/02/2023","2,449,000","2,505,000","2,539,000","2,432,000","3.30K","-2.27%"
"11/01/2023","2,506,000","2,463,000","2,513,000","2,442,000","7.09K","1.75%"
"10/31/2023","2,463,000","2,452,000","2,466,000","2,422,000","2.89K","0.53%"
"10/30/2023","2,450,000","2,435,000","2,476,000","2,418,000","2.18K","0.62%"
"10/29/2023","2,435,000","2,417,000","2,450,000","2,408,000","1.79K","0.74%"
"10/28/2023","2,417,000","2,414,000","2,442,000","2,412,000","0.95K","0.12%"
"10/27/2023","2,414,000","2,438,000","2,441,000","2,377,000","1.98K","-0.98%"
"10/26/2023","2,438,000","2,409,000","2,510,000","2,387,000","2.73K","1.20%"
"10/25/2023","2,409,000","2,400,000","2,445,000","2,384,000","4.21K","0.38%"
"10/24/2023","2,400,000","2,358,000","2,480,000","2,348,000","5.61K","1.74%"
"10/23/2023","2,359,000","2,238,000","2,386,000","2,237,000","9.83K","5.41%"
"10/22/2023","2,238,000","2,200,000","2,243,000","2,193,000","2.91K","1.73%"
"10/21/2023","2,200,000","2,176,000","2,210,000","2,159,000","2.88K","1.10%"
"10/20/2023","2,176,000","2,124,000","2,201,000","2,118,000","1.84K","2.40%"
"10/19/2023","2,125,000","2,137,000","2,143,000","2,110,000","3.88K","-0.51%"
"10/18/2023","2,136,000","2,131,000","2,159,000","2,126,000","1.97K","0.23%"
"10/17/2023","2,131,000","2,173,000","2,175,000","2,120,000","2.78K","-1.93%"
"10/16/2023","2,173,000","2,128,000","2,215,000","2,123,000","1.65K","2.07%"
"10/15/2023","2,129,000","2,130,000","2,136,000","2,120,000","0.98K","-0.05%"
"10/14/2023","2,130,000","2,134,000","2,142,000","2,124,000","1.16K","-0.19%"
"10/13/2023","2,134,000","2,113,000","2,156,000","2,109,000","1.53K","0.99%"
"10/12/2023","2,113,000","2,139,000","2,139,000","2,084,000","2.03K","-1.17%"
"10/11/2023","2,138,000","2,137,000","2,149,000","2,112,000","1.38K","0.05%"
"10/10/2023","2,137,000","2,153,000","2,174,000","2,120,000","1.27K","-0.79%"
"10/09/2023","2,154,000","2,219,000","2,225,000","2,122,000","10.35K","-2.93%"
"10/08/2023","2,219,000","2,218,000","2,227,000","2,198,000","0.71K","0.05%"
"10/07/2023","2,218,000","2,226,000","2,233,000","2,216,000","0.79K","-0.36%"
"10/06/2023","2,226,000","2,190,000","2,240,000","2,190,000","1.60K","1.64%"
"10/05/2023","2,190,000","2,229,000","2,238,000","2,188,000","2.13K","-1.75%"
"10/04/2023","2,229,000","2,249,000","2,253,000","2,216,000","1.25K","-0.89%"
"10/03/2023","2,249,000","2,261,000","2,282,000","2,239,000","1.74K","-0.53%"
"10/02/2023","2,261,000","2,341,000","2,359,000","2,239,000","3.06K","-3.42%"
"10/01/2023","2,341,000","2,267,000","2,350,000","2,266,000","2.37K","3.26%"
"09/30/2023","2,267,000","2,258,000","2,294,000","2,257,000","0.92K","0.40%"
"09/29/2023","2,258,000","2,238,000","2,285,000","2,237,000","1.07K","0.89%"
"09/28/2023","2,238,000","2,181,000","2,259,000","2,180,000","2.13K","2.61%"
"09/27/2023","2,181,000","2,160,000","2,218,000","2,159,000","1.26K","0.97%"
"09/26/2023","2,160,000","2,140,000","2,167,000","2,135,000","1.13K","0.93%"
"09/25/2023","2,140,000","2,139,000","2,155,000","2,114,000","0.83K","0.05%"
"09/24/2023","2,139,000","2,155,000","2,160,000","2,132,000","1.33K","-0.74%"
"09/23/2023","2,155,000","2,154,000","2,159,000","2,148,000","0.34K","0.05%"
"09/22/2023","2,154,000","2,145,000","2,161,000","2,140,000","0.72K","0.42%"
"09/21/2023","2,145,000","2,184,000","2,196,000","2,128,000","0.95K","-1.79%"
"09/20/2023","2,184,000","2,204,000","2,210,000","2,164,000","1.85K","-0.91%"
"09/19/2023","2,204,000","2,201,000","2,222,000","2,184,000","0.92K","0.18%"
"09/18/2023","2,200,000","2,186,000","2,238,000","2,173,000","0.96K","0.64%"
"09/17/2023","2,186,000","2,213,000","2,213,000","2,180,000","0.90K","-1.22%"
"09/16/2023","2,213,000","2,214,000","2,222,000","2,203,000","0.52K","-0.09%"
"09/15/2023","2,215,000","2,197,000","2,226,000","2,184,000","1.32K","0.82%"
"09/14/2023","2,197,000","2,174,000","2,219,000","2,172,000","1.31K","1.06%"
"09/13/2023","2,174,000","2,157,000","2,188,000","2,145,000","2.50K","0.79%"
"09/12/2023","2,157,000","2,114,000","2,196,000","2,111,000","2.96K","2.03%"
"09/11/2023","2,114,000","2,201,000","2,202,000","2,093,000","3.03K","-3.95%"
"09/10/2023","2,201,000","2,225,000","2,226,000","2,188,000","2.97K","-1.08%"
"09/09/2023","2,225,000","2,225,000","2,230,000","2,219,000","2.26K","0.00%"
"09/08/2023","2,225,000","2,238,000","2,244,000","2,202,000","0.66K","-0.58%"
"09/07/2023","2,238,000","2,217,000","2,250,000","2,208,000","1.29K","0.95%"
"09/06/2023","2,217,000","2,220,000","2,257,000","2,195,000","2.28K","-0.14%"
"09/05/2023","2,220,000","2,207,000","2,237,000","2,187,000","1.05K","0.59%"
"09/04/2023","2,207,000","2,221,000","2,227,000","2,196,000","1.85K","-0.63%"
"09/03/2023","2,221,000","2,224,000","2,229,000","2,216,000","0.45K","-0.13%"
"09/02/2023","2,224,000","2,231,000","2,242,000","2,215,000","1.46K","-0.31%"
"09/01/2023","2,231,000","2,248,000","2,258,000","2,201,000","3.79K","-0.76%"
"08/31/2023","2,248,000","2,313,000","2,334,000","2,238,000","4.20K","-2.81%"
"08/30/2023","2,313,000","2,330,000","2,337,000","2,297,000","1.42K","-0.73%"
"08/29/2023","2,330,000","2,232,000","2,349,000","2,220,000","4.00K","4.39%"
"08/28/2023","2,232,000","2,247,000","2,248,000","2,203,000","1.06K","-0.67%"
"08/27/2023","2,247,000","2,239,000","2,249,000","2,234,000","0.59K","0.36%"
"08/26/2023","2,239,000","2,247,000","2,251,000","2,233,000","0.70K","-0.36%"
"08/25/2023","2,247,000","2,254,000","2,277,000","2,227,000","1.06K","-0.31%"
"08/24/2023","2,254,000","2,280,000","2,284,000","2,226,000","1.69K","-1.18%"
"08/23/2023","2,281,000","2,237,000","2,296,000","2,227,000","2.46K","1.92%"
"08/22/2023","2,238,000","2,282,000","2,288,000","2,188,000","3.87K","-1.93%"
"08/21/2023","2,282,000","2,310,000","2,312,000","2,266,000","1.58K","-1.21%"
"08/20/2023","2,310,000","2,305,000","2,325,000","2,285,000","0.92K","0.22%"
"08/19/2023","2,305,000","2,288,000","2,338,000","2,280,000","1.44K","0.74%"
"08/18/2023","2,288,000","2,311,000","2,330,000","2,264,000","3.07K","-1.04%"
"08/17/2023","2,312,000","2,452,000","2,456,000","2,243,000","10.19K","-5.71%"
"08/16/2023","2,452,000","2,467,000","2,473,000","2,449,000","1.72K","-0.61%"
"08/15/2023","2,467,000","2,463,000","2,479,000","2,461,000","1.56K","0.16%"
"08/14/2023","2,463,000","2,455,000","2,478,000","2,451,000","0.76K","0.33%"
"08/13/2023","2,455,000","2,469,000","2,478,000","2,455,000","0.83K","-0.57%"
"08/12/2023","2,469,000","2,465,000","2,470,000","2,463,000","0.19K","0.16%"
"08/11/2023","2,465,000","2,458,000","2,472,000","2,451,000","0.49K","0.28%"
"08/10/2023","2,458,000","2,460,000","2,470,000","2,447,000","0.47K","-0.08%"
"08/09/2023","2,460,000","2,458,000","2,475,000","2,452,000","0.92K","0.08%"
"08/08/2023","2,458,000","2,418,000","2,477,000","2,416,000","2.16K","1.70%"
"08/07/2023","2,417,000","2,430,000","2,440,000","2,393,000","2.02K","-0.49%"
"08/06/2023","2,429,000","2,432,000","2,436,000","2,426,000","0.48K","-0.12%"
"08/05/2023","2,432,000","2,420,000","2,434,000","2,411,000","0.34K","0.50%"
"08/04/2023","2,420,000","2,418,000","2,442,000","2,410,000","1.32K","0.08%"
"08/03/2023","2,418,000","2,417,000","2,443,000","2,410,000","1.33K","0.04%"
"08/02/2023","2,417,000","2,435,000","2,449,000","2,401,000","1.69K","-0.74%"
"08/01/2023","2,435,000","2,409,000","2,437,000","2,365,000","1.54K","1.08%"
"07/31/2023","2,409,000","2,410,000","2,424,000","2,404,000","0.97K","-0.04%"
"07/30/2023","2,410,000","2,428,000","2,440,000","2,404,000","1.30K","-0.74%"
"07/29/2023","2,428,000","2,427,000","2,435,000","2,421,000","0.42K","0.08%"
"07/28/2023","2,426,000","2,412,000","2,436,000","2,404,000","0.40K","0.58%"
"07/27/2023","2,412,000","2,419,000","2,437,000","2,411,000","0.94K","-0.29%"
"07/26/2023","2,419,000","2,409,000","2,433,000","2,392,000","1.61K","0.42%"
"07/25/2023","2,409,000","2,404,000","2,426,000","2,390,000","0.77K","0.21%"
"07/24/2023","2,404,000","2,448,000","2,449,000","2,393,000","1.37K","-1.80%"
"07/23/2023","2,448,000","2,430,000","2,461,000","2,415,000","1.14K","0.74%"
"07/22/2023","2,430,000","2,459,000","2,464,000","2,417,000","1.02K","-1.18%"
"07/21/2023","2,459,000","2,445,000","2,467,000","2,443,000","0.75K","0.57%"
"07/20/2023","2,445,000","2,420,000","2,473,000","2,416,000","1.09K","1.07%"
"07/19/2023","2,419,000","2,436,000","2,464,000","2,415,000","2.08K","-0.70%"
"07/18/2023","2,436,000","2,455,000","2,460,000","2,421,000","1.26K","-0.77%"
"07/17/2023","2,455,000","2,477,000","2,481,000","2,420,000","4.26K","-0.85%"
"07/16/2023","2,476,000","2,480,000","2,497,000","2,465,000","0.82K","-0.16%"
"07/15/2023","2,480,000","2,499,000","2,499,000","2,470,000","0.51K","-0.76%"
"07/14/2023","2,499,000","2,546,000","2,569,000","2,457,000","4.64K","-1.85%"
"07/13/2023","2,546,000","2,450,000","2,551,000","2,421,000","11.21K","3.92%"
"07/12/2023","2,450,000","2,461,000","2,485,000","2,448,000","2.30K","-0.45%"
"07/11/2023","2,461,000","2,477,000","2,480,000","2,450,000","0.78K","-0.65%"
"07/10/2023","2,477,000","2,458,000","2,502,000","2,443,000","1.35K","0.77%"
"07/09/2023","2,458,000","2,471,000","2,480,000","2,454,000","0.43K","-0.53%"
"07/08/2023","2,471,000","2,477,000","2,482,000","2,450,000","0.52K","-0.24%"
"07/07/2023","2,477,000","2,463,000","2,485,000","2,443,000","0.35K","0.53%"
"07/06/2023","2,464,000","2,530,000","2,580,000","2,463,000","2.10K","-2.65%"
"07/05/2023","2,531,000","2,554,000","2,563,000","2,495,000","1.39K","-0.90%"
"07/04/2023","2,554,000","2,582,000","2,594,000","2,551,000","0.64K","-1.08%"
"07/03/2023","2,582,000","2,570,000","2,615,000","2,567,000","1.32K","0.47%"
"07/02/2023","2,570,000","2,561,000","2,597,000","2,522,000","1.36K","0.35%"
"07/01/2023","2,561,000","2,573,000","2,590,000","2,540,000","0.27K","-0.47%"
"06/30/2023","2,573,000","2,468,000","2,584,000","2,443,000","2.92K","4.25%"
"06/29/2023","2,468,000","2,430,000","2,500,000","2,430,000","0.92K","1.52%"
"06/28/2023","2,431,000","2,494,000","2,496,000","2,430,000","1.08K","-2.53%"
"06/27/2023","2,494,000","2,462,000","2,522,000","2,459,000","1.45K","1.30%"
"06/26/2023","2,462,000","2,514,000","2,524,000","2,439,000","1.15K","-2.07%"
"06/25/2023","2,514,000","2,497,000","2,570,000","2,488,000","1.04K","0.68%"
"06/24/2023","2,497,000","2,507,000","2,525,000","2,485,000","1.28K","-0.40%"
"06/23/2023","2,507,000","2,450,000","2,548,000","2,450,000","3.46K","2.33%"
"06/22/2023","2,450,000","2,466,000","2,519,000","2,448,000","1.19K","-0.69%"
"06/21/2023","2,467,000","2,340,000","2,479,000","2,333,000","2.93K","5.43%"
"06/20/2023","2,340,000","2,269,000","2,343,000","2,255,000","2.96K","3.13%"
"06/19/2023","2,269,000","2,248,000","2,285,000","2,230,000","1.60K","0.89%"
"06/18/2023","2,249,000","2,264,000","2,281,000","2,247,000","1.10K","-0.66%"
"06/17/2023","2,264,000","2,250,000","2,302,000","2,243,000","0.56K","0.62%"
"06/16/2023","2,250,000","2,176,000","2,261,000","2,166,000","1.69K","3.40%"
"06/15/2023","2,176,000","2,163,000","2,189,000","2,131,000","1.93K","0.60%"
"06/14/2023","2,163,000","2,272,000","2,286,000","2,149,000","4.38K","-4.76%"
"06/13/2023","2,271,000","2,291,000","2,305,000","2,267,000","0.88K","-0.87%"
"06/12/2023","2,291,000","2,320,000","2,322,000","2,273,000","1.23K","-1.25%"
"06/11/2023","2,320,000","2,328,000","2,346,000","2,310,000","1.07K","-0.34%"
"06/10/2023","2,328,000","2,420,000","2,425,000","2,286,000","1.22K","-3.80%"
"06/09/2023","2,420,000","2,434,000","2,438,000","2,412,000","0.78K","-0.58%"
"06/08/2023","2,434,000","2,431,000","2,454,000","2,425,000","0.42K","0.12%"
"06/07/2023","2,431,000","2,478,000","2,495,000","2,423,000","1.26K","-1.90%"
"06/06/2023","2,478,000","2,414,000","2,500,000","2,381,000","1.79K","2.69%"
"06/05/2023","2,413,000","2,500,000","2,502,000","2,390,000","3.73K","-3.48%"
"06/04/2023","2,500,000","2,507,000","2,522,000","2,495,000","0.91K","-0.28%"
"06/03/2023","2,507,000","2,526,000","2,529,000","2,500,000","0.50K","-0.75%"
"06/02/2023","2,526,000","2,487,000","2,529,000","2,471,000","0.69K","1.57%"
"06/01/2023","2,487,000","2,502,000","2,520,000","2,470,000","1.01K","-0.60%"
"05/31/2023","2,502,000","2,528,000","2,538,000","2,482,000","0.60K","-1.03%"
"05/30/2023","2,528,000","2,521,000","2,555,000","2,509,000","1.13K","0.32%"
"05/29/2023","2,520,000","2,540,000","2,567,000","2,507,000","1.08K","-0.75%"
"05/28/2023","2,539,000","2,443,000","2,546,000","2,438,000","1.97K","3.93%"
"05/27/2023","2,443,000","2,446,000","2,457,000","2,432,000","0.63K","-0.08%"
"05/26/2023","2,445,000","2,422,000","2,462,000","2,409,000","0.57K","0.95%"
"05/25/2023","2,422,000","2,420,000","2,432,000","2,378,000","0.55K","0.08%"
"05/24/2023","2,420,000","2,475,000","2,477,000","2,395,000","1.13K","-2.22%"
"05/23/2023","2,475,000","2,432,000","2,486,000","2,426,000","0.47K","1.77%"
"05/22/2023","2,432,000","2,429,000","2,443,000","2,407,000","0.63K","0.08%"
"05/21/2023","2,430,000","2,444,000","2,453,000","2,428,000","0.43K","-0.57%"
"05/20/2023","2,444,000","2,437,000","2,455,000","2,434,000","0.38K","0.29%"
"05/19/2023","2,437,000","2,430,000","2,455,000","2,415,000","0.65K","0.29%"
"05/18/2023","2,430,000","2,443,000","2,460,000","2,405,000","1.69K","-0.53%"
"05/17/2023","2,443,000","2,455,000","2,469,000","2,414,000","0.88K","-0.49%"
"05/16/2023","2,455,000","2,449,000","2,469,000","2,430,000","0.63K","0.24%"
"05/15/2023","2,449,000","2,434,000","2,486,000","2,417,000","1.10K","0.62%"
"05/14/2023","2,434,000","2,440,000","2,464,000","2,432,000","0.90K","-0.25%"
"05/13/2023","2,440,000","2,449,000","2,464,000","2,424,000","0.42K","-0.37%"
"05/12/2023","2,449,000","2,419,000","2,461,000","2,350,000","1.90K","1.24%"
"05/11/2023","2,419,000","2,469,000","2,473,000","2,406,000","1.89K","-2.03%"
"05/10/2023","2,469,000","2,483,000","2,528,000","2,442,000","3.04K","-0.56%"
"05/09/2023","2,483,000","2,485,000","2,502,000","2,454,000","1.50K","-0.08%"
"05/08/2023","2,485,000","2,512,000","2,526,000","2,458,000","2.27K","-1.07%"
"05/07/2023","2,512,000","2,541,000","2,577,000","2,508,000","1.10K","-1.14%"
"05/06/2023","2,541,000","2,641,000","2,670,000","2,506,000","4.97K","-3.75%"
"05/05/2023","2,640,000","2,508,000","2,654,000","2,505,000","2.72K","5.26%"
"05/04/2023","2,508,000","2,542,000","2,556,000","2,505,000","0.74K","-1.34%"
"05/03/2023","2,542,000","2,503,000","2,560,000","2,476,000","1.90K","1.52%"
"05/02/2023","2,504,000","2,462,000","2,521,000","2,443,000","1.50K","1.71%"
"05/01/2023","2,462,000","2,508,000","2,529,000","2,437,000","1.92K","-1.83%"
"04/30/2023","2,508,000","2,543,000","2,578,000","2,508,000","2.37K","-1.38%"
"04/29/2023","2,543,000","2,522,000","2,550,000","2,513,000","0.53K","0.83%"
"04/28/2023","2,522,000","2,545,000","2,562,000","2,509,000","0.86K","-0.90%"
"04/27/2023","2,545,000","2,498,000","2,583,000","2,491,000","1.62K","1.88%"
"04/26/2023","2,498,000","2,498,000","2,609,000","2,417,000","4.35K","0.00%"
"04/25/2023","2,498,000","2,463,000","2,515,000","2,414,000","2.31K","1.42%"
"04/24/2023","2,463,000","2,484,000","2,514,000","2,422,000","1.77K","-0.85%"
"04/23/2023","2,484,000","2,507,000","2,509,000","2,453,000","1.21K","-0.92%"
"04/22/2023","2,507,000","2,464,000","2,520,000","2,453,000","1.74K","1.79%"
"04/21/2023","2,463,000","2,586,000","2,598,000","2,436,000","3.81K","-4.76%"
"04/20/2023","2,586,000","2,574,000","2,627,000","2,556,000","2.04K","0.47%"
"04/19/2023","2,574,000","2,741,000","2,747,000","2,565,000","4.03K","-6.09%"
"04/18/2023","2,741,000","2,728,000","2,779,000","2,701,000","1.75K","0.48%"
"04/17/2023","2,728,000","2,768,000","2,768,000","2,707,000","0.94K","-1.37%"
"04/16/2023","2,766,000","2,750,000","2,785,000","2,732,000","1.81K","0.58%"
"04/15/2023","2,750,000","2,744,000","2,774,000","2,720,000","0.98K","0.22%"
"04/14/2023","2,744,000","2,643,000","2,778,000","2,639,000","2.32K","3.78%"
"04/13/2023","2,644,000","2,538,000","2,655,000","2,519,000","1.93K","4.18%"
"04/12/2023","2,538,000","2,504,000","2,554,000","2,462,000","2.03K","1.36%"
"04/11/2023","2,504,000","2,511,000","2,541,000","2,497,000","2.18K","-0.28%"
"04/10/2023","2,511,000","2,451,000","2,519,000","2,441,000","4.19K","2.45%"
"04/09/2023","2,451,000","2,453,000","2,468,000","2,424,000","2.10K","-0.08%"
"04/08/2023","2,453,000","2,470,000","2,480,000","2,451,000","0.99K","-0.69%"
"04/07/2023","2,470,000","2,477,000","2,491,000","2,446,000","0.95K","-0.24%"
"04/06/2023","2,476,000","2,517,000","2,517,000","2,457,000","1.63K","-1.63%"
"04/05/2023","2,517,000","2,469,000","2,548,000","2,459,000","1.82K","1.94%"
"04/04/2023","2,469,000","2,395,000","2,490,000","2,388,000","1.33K","3.09%"
"04/03/2023","2,395,000","2,374,000","2,422,000","2,354,000","3.50K","0.88%"
"04/02/2023","2,374,000","2,404,000","2,408,000","2,360,000","2.90K","-1.25%"
"04/01/2023","2,404,000","2,401,000","2,424,000","2,396,000","1.23K","0.12%"
"03/31/2023","2,401,000","2,376,000","2,431,000","2,360,000","1.48K","1.05%"
"03/30/2023","2,376,000","2,364,000","2,404,000","2,345,000","1.73K","0.47%"
"03/29/2023","2,365,000","2,342,000","2,404,000","2,342,000","1.92K","0.98%"
"03/28/2023","2,342,000","2,285,000","2,360,000","2,260,000","3.84K","2.54%"
"03/27/2023","2,284,000","2,356,000","2,367,000","2,257,000","5.15K","-3.01%"
"03/26/2023","2,355,000","2,329,000","2,383,000","2,323,000","1.26K","1.12%"
"03/25/2023","2,329,000","2,341,000","2,347,000","2,304,000","2.09K","-0.51%"
"03/24/2023","2,341,000","2,389,000","2,400,000","2,320,000","3.06K","-2.01%"
"03/23/2023","2,389,000","2,312,000","2,423,000","2,279,000","4.61K","3.33%"
"03/22/2023","2,312,000","2,385,000","2,410,000","2,285,000","10.20K","-3.06%"
"03/21/2023","2,385,000","2,327,000","2,430,000","2,299,000","2.74K","2.49%"
"03/20/2023","2,327,000","2,373,000","2,393,000","2,315,000","2.90K","-1.94%"
"03/19/2023","2,373,000","2,336,000","2,428,000","2,335,000","5.45K","1.58%"
"03/18/2023","2,336,000","2,363,000","2,422,000","2,330,000","3.80K","-1.14%"
"03/17/2023","2,363,000","2,226,000","2,372,000","2,219,000","5.97K","6.15%"
"03/16/2023","2,226,000","2,209,000","2,247,000","2,182,000","3.51K","0.77%"
"03/15/2023","2,209,000","2,236,000","2,259,000","2,168,000","5.14K","-1.25%"
"03/14/2023","2,237,000","2,200,000","2,318,000","2,174,000","7.33K","1.68%"
"03/13/2023","2,200,000","2,095,000","2,217,000","2,073,000","6.96K","5.01%"
"03/12/2023","2,095,000","1,992,000","2,107,000","1,948,000","10.66K","5.22%"
"03/11/2023","1,991,000","1,936,000","1,999,000","1,914,000","2.97K","2.84%"
"03/10/2023","1,936,000","1,945,000","1,945,000","1,869,000","2.33K","-0.46%"
"03/09/2023","1,945,000","2,048,000","2,065,000","1,923,000","6.83K","-5.03%"
"03/08/2023","2,048,000","2,076,000","2,085,000","2,045,000","2.26K","-1.35%"
"03/07/2023","2,076,000","2,078,000","2,104,000","2,051,000","4.03K","-0.14%"
"03/06/2023","2,079,000","2,092,000","2,105,000","2,065,000","1.80K","-0.62%"
"03/05/2023","2,092,000","2,090,000","2,107,000","2,072,000","1.11K","0.10%"
"03/04/2023","2,090,000","2,085,000","2,100,000","2,080,000","2.60K","0.24%"
"03/03/2023","2,085,000","2,184,000","2,187,000","2,061,000","2.08K","-4.53%"
"03/02/2023","2,184,000","2,193,000","2,203,000","2,152,000","1.33K","-0.41%"
"03/01/2023","2,193,000","2,149,000","2,198,000","2,135,000","1.02K","2.05%"
"02/28/2023","2,149,000","2,173,000","2,185,000","2,142,000","1.97K","-1.10%"
"02/27/2023","2,173,000","2,177,000","2,206,000","2,146,000","2.42K","-0.18%"
"02/26/2023","2,177,000","2,131,000","2,183,000","2,113,000","2.07K","2.16%"
"02/25/2023","2,131,000","2,139,000","2,140,000","2,087,000","1.98K","-0.37%"
"02/24/2023","2,139,000","2,162,000","2,170,000","2,102,000","4.59K","-1.06%"
"02/23/2023","2,162,000","2,150,000","2,182,000","2,134,000","2.00K","0.51%"
